French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
pendant,while
revoir,meet again
place,square
compris,understood
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
type,type
corps,body
endroit,place
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
vieux,old
sois,be
tellement,so much
enfant,child
venu,came
pardon,sorry
minutes,minutes
demandé,request
mis,placed
belle,beautiful
aimerais,would like to
cause,cause
eau,water
boulot,job
dirait,would say
compte,account
croire,believe
filles,girls
jouer,to play
